iter	Passed	Remaining
884	3690	479
885	3694	475
886	3698	471
887	3702	466
888	3705	462
889	3708	458
890	3712	454
891	3716	449
892	3720	445
893	3723	441
894	3726	437
895	3731	433
896	3735	428
897	3738	424
898	3742	420
899	3747	416
900	3751	412
901	3755	407
902	3758	403
903	3765	399
904	3769	395
905	3772	391
906	3777	387
907	3780	383
908	3784	378
909	3787	374
910	3791	370
911	3795	366
912	3799	362
913	3803	357
914	3807	353
915	3811	349
916	3815	345
917	3819	341
918	3822	336
919	3826	332
920	3831	328
921	3834	324
922	3838	320
923	3843	316
924	3846	311
925	3849	307
926	3854	303
927	3858	299
928	3861	295
929	3865	290
930	3869	286
931	3874	282
932	3877	278
933	3880	274
934	3884	270
935	3888	265
936	3892	261
937	3895	257
938	3899	253
939	3902	249
940	3906	244
941	3910	240
942	3914	236
943	3917	232
944	3922	228
945	3925	224
946	3929	219
947	3932	215
948	3936	211
949	3940	207
950	3944	203
951	3947	199
952	3950	194
953	3954	190
954	3958	186
955	3962	182
956	3965	178
957	3968	173
958	3972	169
959	3975	165
960	3978	161
961	3981	157
962	3985	153
963	3988	148
964	3992	144
965	3995	140
966	3998	136
967	4003	132
968	4006	128
969	4009	124
970	4012	119
971	4015	115
972	4021	111
973	4024	107
974	4027	103
975	4030	99
976	4034	94
977	4038	90
978	4041	86
979	4044	82
980	4047	78
981	4051	74
982	4054	70
983	4057	65
984	4060	61
985	4063	57
986	4068	53
987	4071	49
988	4073	45
989	4076	41
990	4080	37
991	4083	32
992	4086	28
993	4089	24
994	4092	20
995	4097	16
996	4100	12
997	4103	8
998	4106	4
999	4110	0
